"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-25","2.3",,"0.0","0.0","0.0","23.5","29.4","18.3","  150","  150","5.4","6.3",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-26","2.8",,"0.0","0.0","0.0","21.4","25.6","19.4","  140","  160","5.4","6.3","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-27","3.3",,"0.0","0.0","0.0","24.1","30.6","20.6","  110","  110","6.7","8.5","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-28","7.6",,"0.0","0.0","0.0","24.1","26.7","15.6","  320","  330","11.6","14.3","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-29","3.1",,"0.0","0.0","0.0","16.9","20.6","12.2","  270","  260","7.2","9.4",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-30","6.3",,"1.0","0.0","0.0","16.1","19.4","12.2","  350","  350","11.2","13.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-01","3.1",,"0.0","0.0","0.0","14.6","20.6","10.0","  230","  230","7.2","8.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-02","3.1",,"0.0","0.0","0.0","16.4","22.8","11.1","  200","   40","5.8","7.6",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-03","3.5",,"0.0","0.0","0.0","15.6","21.1","10.6","  150","  140","6.7","9.4",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-04","5.3",,"0.0","0.0","0.0","16.7","22.2","12.8","  200","  190","9.4","11.2",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-05","5.4",,"0.0","0.0","0.0","20.8","28.3","17.2","  240","  240","8.1","9.8",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-06","3.3",,"0.0","0.0","0.0","22.3","27.2","18.9","  170","  190","6.3","7.6",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-07","4.8",,"0.0","0.0","0.0","20.9","26.1","17.2","  170","  190","10.3","13.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-08","6.4",,"1.0","0.0","0.0","21.8","22.8","21.1","  180","  180","10.7","13.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-09","7.5",,"8.6","0.0","0.0","21.7","24.4","21.1","  180","  170","14.3","18.8","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-10","3.3",,"0.0","0.0","0.0","23.3","28.9","18.9","  320","  320","8.9","10.7",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-11","4.2",,"0.5","0.0","0.0","19.9","25.0","16.7","   90","  110","9.8","12.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-12","6.8",,"2.0","0.0","0.0","16.3","18.9","12.2","   50","   50","10.3","13.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-13","5.2",,"0.0","0.0","0.0","14.8","19.4","11.7","  100","  100","8.9","10.7","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-14","3.1",,"0.3","0.0","0.0","18.6","23.3","15.6","   30","   30","5.8","6.7","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-15","4.5",,"0.3","0.0","0.0","19.8","23.3","18.3","  220","  220","9.4","12.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-16","7.4",,"0.0","0.0","0.0","16.8","20.6","7.8","  320","  320","11.6","14.3",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-17","4.7",,"0.0","0.0","0.0","10.2","15.6","5.6","  360","  360","8.1","10.3",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-18","4.6",,"0.0","0.0","0.0","14.6","21.7","10.0","  260","  260","7.6","9.4",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-19","4.8",,"0.0","0.0","0.0","15.9","21.1","10.6","  220","  190","7.6","9.4",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-20","4.7",,"0.0","0.0","0.0","18.2","23.9","13.3","  300","  320","8.9","11.6",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-21","2.7",,"0.0","0.0","0.0","17.5","24.4","8.9","  190","  190","6.7","8.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-22","2.1",,"0.0","0.0","0.0","16.3","22.2","9.4","  170","  180","5.8","6.7",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-23","5.7",,"0.0","0.0","0.0","17.5","22.8","12.8","  140","  140","10.3","12.5","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-24","9.8",,"13.0","0.0","0.0","20.3","23.3","18.3","  160","  160","16.1","20.1","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-25","2.9",,"0.0","0.0","0.0","17.3","18.9","14.4","  330","  330","8.1","9.8","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-26","6.4",,"0.0","0.0","0.0","13.8","15.0","10.0","  270","  290","9.8","13.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-10-27","4.3",,"0.0","0.0","0.0","12.0","16.1","7.8","  220","  200","6.7","8.9",,,,,,,
